,embedding_length,filter_length,lstm_nodes,num_filters,pool_size,mean,stddev
0,8,6,100,100,2,0.798835410801493,0.010135345105356748
1,8,6,100,100,4,0.8080247475261217,0.013727116472298928
2,8,6,100,200,2,0.8033845874005285,0.01720930869178015
3,8,6,100,200,4,0.790646892928652,0.02487369286539718
4,8,6,200,100,2,0.7968337731033404,0.012067471472790399
5,8,6,200,100,4,0.7987444272749353,0.010343328098721018
6,8,6,200,200,2,0.7924665635628432,0.022385962553020423
7,8,6,200,200,4,0.8030206532780287,0.011894795779261683
8,8,8,100,100,2,0.8024747520807214,0.007465698115535125
9,8,8,100,100,4,0.7955600036556104,0.01927891344237529
10,8,8,100,200,2,0.80229278501676,0.008364504062331765
11,8,8,100,200,4,0.7870075516440005,0.018430104198751834
12,8,8,200,100,2,0.7967427895659366,0.022973859482085256
13,8,8,200,100,4,0.7880083704957883,0.019260205214601936
14,8,8,200,200,2,0.7958329542461295,0.005466931370039269
15,8,8,200,200,4,0.7997452461267232,0.011437523408075339
16,8,10,100,100,2,0.7963788554380138,0.010604214499252154
17,8,10,100,100,4,0.8031116368045864,0.015987956292118077
18,8,10,100,200,2,0.7800018196869087,0.03407639278633672
19,8,10,100,200,4,0.7800018196760626,0.02042929757264038
20,8,10,200,100,2,0.7987444272695122,0.008794942095741493
21,8,10,200,100,4,0.7849149304192902,0.023526773626962785
22,8,10,200,200,2,0.7979255754816859,0.015183306521702617
23,8,10,200,200,4,0.7866436175160776,0.00832444720956165
24,16,6,100,100,2,0.8063870439613151,0.009125684793091796
25,16,6,100,100,4,0.8041124556617972,0.012673404895160915
26,16,6,100,200,2,0.8004731143771457,0.013893442932603096
27,16,6,100,200,4,0.7971067236938595,0.005254336591690718
28,16,6,200,100,2,0.7965608224911291,0.002962105691418557
29,16,6,200,100,4,0.7990173778600314,0.008589832513483785
30,16,6,200,200,2,0.7980165590082435,0.00817084926234528
31,16,6,200,200,4,0.780547720878793,0.013580117153258103
32,16,8,100,100,2,0.8037485215284514,0.010648920700659634
33,16,8,100,100,4,0.7860067327922127,0.017932471324913622
34,16,8,100,200,2,0.7922845964988817,0.006506040092544536
35,16,8,100,200,4,0.7840960786206177,0.015170636000317794
36,16,8,200,100,2,0.7848239468764634,0.0296365448392758
37,16,8,200,100,4,0.7936493494840154,0.02057251455020761
38,16,8,200,200,2,0.798198526077628,0.01114983599973034
39,16,8,200,200,4,0.780547720878793,0.013843684998713475
40,16,10,100,100,2,0.7949231189263224,0.0076845018608240005
41,16,10,100,100,4,0.7936493494731693,0.003718813843698946
42,16,10,100,200,2,0.7991993449348389,0.01114982608164689
43,16,10,100,200,4,0.7831862433008105,0.012775849187368533
44,16,10,200,100,2,0.7845509962805213,0.009224864103849808
45,16,10,200,100,4,0.7844600127485406,0.009602893739727454
46,16,10,200,200,2,0.786825584574616,0.012522941876423893
47,16,10,200,200,4,0.7706305158983185,0.017305150414840983
